Rank,Year,Title,Journal,Authors,Citations,DOI,Population Hits,Intervention Hits,Outcome Hits,Score,Decision
1,2012,Multivalent glycoconjugates as anti-pathogenic agents,Chemical Society Reviews,"Anna Bernardi, Jesús Jiménez‐Barbero, Alessandro Casnati et al.",531,10.1039/c2cs35408j,glycoconjugate; glycan,,OPA; immune response,0.45,uncertain
2,2006,The Role of Protein Glycosylation in Allergy,International Archives of Allergy and Immunology,Friedrich Altmann,383,10.1159/000096114,glycan,epitope; carbohydrate epitope,IgG,0.425,uncertain
3,2019,Protein Glycosylation and Tumor Microenvironment Alterations Driving Cancer Hallmarks,Frontiers in Oncology,"Andreia Peixoto, Marta Relvas‐Santos, Rita Azevedo et al.",327,10.3389/fonc.2019.00380,glycoconjugate; glycan,epitope; SAR,,0.4,uncertain
4,2013,Masquerading microbial pathogens: capsular polysaccharides mimic host-tissue molecules,FEMS Microbiology Reviews,"Brady F. Cress, Jacob A. Englaender, Wenqin He et al.",269,10.1111/1574-6976.12056,capsular polysaccharide; glycan,,efficacy; immune response,0.45,uncertain
5,2018,Glycoconjugate vaccines: Principles and mechanisms,Science Translational Medicine,Rino Rappuoli,248,10.1126/scitranslmed.aat4615,glycoconjugate; glycoconjugate vaccine; conjugate vaccine,epitope; SAR,antibody titer; affinity maturation,0.75,include
6,2023,Urinary Tract Infections Caused by Uropathogenic Escherichia coli: Mechanisms of Infection and Treatment Options,International Journal of Molecular Sciences,"Yang Zhou, Zuying Zhou, Lin Zheng et al.",217,10.3390/ijms241310537,,,OPA; efficacy,0.4,uncertain
7,2021,Discovery of Semi- and Fully-Synthetic Carbohydrate Vaccines Against Bacterial Infections Using a Medicinal Chemistry Ap,Chemical Reviews,Peter H. Seeberger,189,10.1021/acs.chemrev.0c01210,glycoconjugate; glycoconjugate vaccine; conjugate vaccine,epitope; glycan epitope,immune response,0.775,include
8,2005,Vaccines based on the cell surface carbohydrates of pathogenic bacteria,Anais da Academia Brasileira de Ciências,Christopher Jones,180,10.1590/s0001-37652005000200009,glycoconjugate; glycoconjugate vaccine; conjugate vaccine,,immune response,0.575,include
9,2013,Role of<i>Campylobacter jejuni</i>Infection in the Pathogenesis of Guillain-Barré Syndrome: An Update,BioMed Research International,"Kishan Kumar Nyati, Roopanshi Nyati",170,10.1155/2013/852195,,epitope,IgG; immune response,0.425,uncertain
10,2019,The Development of a Vaccine Against Meningococcus B Using Reverse Vaccinology,Frontiers in Immunology,"Vega Masignani, Mariagrazia Pizza, E. Richard Moxon",155,10.3389/fimmu.2019.00751,,,immunogenicity; bactericidal; immune response,0.4,uncertain
11,2015,Antibody recognition of carbohydrate epitopes,Glycobiology,"Omid Haji‐Ghassemi, R.J. Blackler, N. Martin Young et al.",150,10.1093/glycob/cwv037,carbohydrate antigen; glycan,epitope; carbohydrate epitope,,0.4,uncertain
12,2018,"Protein Carriers for Glycoconjugate Vaccines: History, Selection Criteria, Characterization and New Trends",Molecules,"Francesca Micoli, Roberto Adamo, Paolo Costantino",108,10.3390/molecules23061451,glycoconjugate; glycoconjugate vaccine; conjugate vaccine,epitope,immunogenicity; OPA; immune response,0.65,include
13,2018,Antimicrobial glycoconjugate vaccines: an overview of classic and modern approaches for protein modification,Chemical Society Reviews,"Francesco Berti, Roberto Adamo",105,10.1039/c8cs00495a,glycoconjugate; glycoconjugate vaccine; conjugate vaccine,epitope,,0.4,uncertain
14,2023,The Matrix-M™ adjuvant: A critical component of vaccines for the 21 <sup>st</sup> century,Human Vaccines & Immunotherapeutics,"Linda Stertman, Anna-Karin E. Palm, Behdad Zarnegar et al.",102,10.1080/21645515.2023.2189885,,epitope; SAR,OPA; efficacy; immune response,0.45,uncertain
15,2019,Targeting the Sugary Armor of Klebsiella Species,Frontiers in Cellular and Infection Microbiology,"L. Ponoop Prasad Patro, Thenmalarchelvi Rathinavelan",86,10.3389/fcimb.2019.00367,capsular polysaccharide,,protection; immune response,0.425,uncertain
16,2016,Carbohydrates as T-cell antigens with implications in health and disease,Glycobiology,"Lina Sun, Dustin R. Middleton, Paeton L. Wantuch et al.",84,10.1093/glycob/cww062,glycoconjugate; glycoconjugate vaccine; conjugate vaccine,epitope; T-cell epitope,immune response,0.625,include
17,2018,Role of O-Acetylation in the Immunogenicity of Bacterial Polysaccharide Vaccines,Molecules,"Francesco Berti, Riccardo De Ricco, Rino Rappuoli",78,10.3390/molecules23061340,glycoconjugate; glycoconjugate vaccine; conjugate vaccine,,immunogenicity; immune response,0.7,include
18,2016,Entirely Carbohydrate-Based Vaccines: An Emerging Field for Specific and Selective Immune Responses,Vaccines,"Sharmeen Nishat, Peter R. Andreana",70,10.3390/vaccines4020019,carbohydrate antigen; glycan,,immunogenicity; immune response,0.45,uncertain
19,2021,Carbohydrate epitopes currently recognized as targets for IgE antibodies,Allergy,"Thomas A.E. Platts‐Mills, Christiane Hilger, Uta Jappe et al.",69,10.1111/all.14802,glycan,epitope; carbohydrate epitope; glycan epitope,,0.4,uncertain
20,2021,Recent advances on smart glycoconjugate vaccines in infections and cancer,FEBS Journal,"Marko Anderluh, Francesco Berti, Anna Bzducha‐Wróbel et al.",64,10.1111/febs.15909,glycoconjugate; glycoconjugate vaccine; conjugate vaccine,epitope; glycan epitope; SAR,efficacy; immune response; vaccine efficacy,0.85,include
21,2014,"Hijacking bacterial glycosylation for the production of glycoconjugates, from vaccines to humanised glycoproteins",Journal of Pharmacy and Pharmacology,"Jon Cuccui, Brendan W. Wren",56,10.1111/jphp.12321,glycoconjugate; glycoconjugate vaccine; conjugate vaccine,,OPA; efficacy; immune response,0.55,include
22,2012,Glycoconjugates Play a Key Role in Campylobacter jejuni Infection: Interactions between Host and Pathogen,Frontiers in Cellular and Infection Microbiology,"Christopher J. Day, Evgeny A. Semchenko, Victoria Korolik",54,10.3389/fcimb.2012.00009,glycoconjugate; capsular polysaccharide; CPS,,OPA; protection; immune response,0.625,include
23,2005,Carbohydrate Moieties as Vaccine Candidates,Clinical Infectious Diseases,"Alexander H. Lucas, Michael A. Apicella, Christopher E. Taylor",53,10.1086/432582,glycan,epitope; carbohydrate epitope,protection; immune response,0.55,include
24,2008,Glycoconjugates in Cancer Therapy,Anti-Cancer Agents in Medicinal Chemistry,"Laura Cipolla, Francesco Peri, Cristina Airoldi",53,10.2174/187152008783330815,glycoconjugate; carbohydrate antigen,epitope; T-cell epitope,OPA,0.525,uncertain
25,2016,"Hib Vaccines: Past, Present, and Future Perspectives",Journal of Immunology Research,"Adi Essam Zarei, Hussein A. Almehdar, Elrashdy M. Redwan",51,10.1155/2016/7203587,conjugate vaccine; Hib conjugate; saccharide antigen,,immunogenicity; efficacy; vaccine efficacy,0.625,include
26,2019,"The C-type Lectin Receptor-Driven, Th17 Cell-Mediated Severe Pathology in Schistosomiasis: Not All Immune Responses to H",Frontiers in Immunology,"Parisa Kalantari, Stephen C. Bunnell, Miguel J. Stadecker",49,10.3389/fimmu.2019.00026,glycan,SAR,OPA; immune response,0.45,uncertain
27,2022,"Pneumococcal Surface Proteins as Virulence Factors, Immunogens, and Conserved Vaccine Targets",Frontiers in Cellular and Infection Microbiology,"Javid Aceil, Fikri Y. Avci",45,10.3389/fcimb.2022.832254,conjugate vaccine; pneumococcal conjugate,,immune response,0.4,uncertain
28,2020,The Delay in the Licensing of Protozoal Vaccines: A Comparative History,Frontiers in Immunology,"M Palatnik, Dirlei Nico",39,10.3389/fimmu.2020.00204,,epitope; T-cell epitope,protection; efficacy; vaccine efficacy,0.45,uncertain
29,2023,Aberrant Glycosylation as Immune Therapeutic Targets for Solid Tumors,Cancers,"Yasuyuki Matsumoto, Tongzhong Ju",36,10.3390/cancers15143536,glycoconjugate; carbohydrate antigen; glycan,epitope; glycan epitope,,0.5,uncertain
30,2006,"The ABCs (Antibody, B Cells, and Carbohydrate Epitopes) of Cholera Immunity: Considerations for an Improved Vaccine",Microbiology and Immunology,"Daniele Provenzano, Pavol Kováč, William F. Wade",34,10.1111/j.1348-0421.2006.tb03866.x,,epitope; carbohydrate epitope,protection; immune response,0.45,uncertain
31,2021,Vaccines to Prevent Meningitis: Historical Perspectives and Future Directions,Microorganisms,"Mark R. Alderson, Jo Anne Welsch, Katie Regan et al.",31,10.3390/microorganisms9040771,conjugate vaccine; pneumococcal conjugate; group B streptococcus,,,0.45,uncertain
32,2023,Carriers and Antigens: New Developments in Glycoconjugate Vaccines,Vaccines,"Robert M. F. van der Put, Bernard Metz, Roland J. Pieters",30,10.3390/vaccines11020219,glycoconjugate; glycoconjugate vaccine; conjugate vaccine,,protection,0.575,include
33,2001,The identification and characterization of new immunogenic egg components: implications for evaluation and control of th,Memórias do Instituto Oswaldo Cruz,"Miguel J. Stadecker, Héctor J. Hernández, Hiroko Asahi",30,10.1590/s0074-02762001000900004,,immunodominant; SAR,immunogenicity; OPA; immune response,0.45,uncertain
34,2019,Complementary Role of CD4+ T Cells in Response to Pneumococcal Polysaccharide Vaccines in Humans,Vaccines,"Vibha Jha, Edward N. Janoff",29,10.3390/vaccines7010018,capsular polysaccharide; polysaccharide vaccine,,immunogenicity; antibody response,0.45,uncertain
35,2024,Immunogenicity of Current and Next-Generation Pneumococcal Conjugate Vaccines in Children: Current Challenges and Upcomi,Open Forum Infectious Diseases,"Kristen A. Feemster, Ulrike K. Buchwald, Natalie Banniettis et al.",26,10.1093/ofid/ofae220,conjugate vaccine; pneumococcal conjugate,,immunogenicity; protection,0.45,uncertain
36,2014,Carbohydrate-Mimetic Peptides for Pan Anti-Tumor Responses,Frontiers in Immunology,"Thomas Kieber‐Emmons, Somdutta Saha, Anastas Pashov et al.",25,10.3389/fimmu.2014.00308,carbohydrate antigen; glycan,,IgG; immune response,0.45,uncertain
37,2010,Potential of Anti- <i>Candida</i> Antibodies in Immunoprophylaxis,Immunotherapy,"Jonathan Cabezas, Olatz Albaina, Dalila Montañez et al.",24,10.2217/imt.09.76,glycoconjugate; glycoconjugate vaccine; conjugate vaccine,epitope,protection,0.525,uncertain
38,2017,"Galactofuranose Antigens, a Target for Diagnosis of Fungal Infections in Humans",Future Science OA,"Carla Marino, Adriana Rinflerch, Rosa M. de Lederkremer",24,10.4155/fsoa-2017-0030,glycoconjugate; glycan,epitope,OPA,0.425,uncertain
39,2023,Exploring the variables influencing the immune response of traditional and innovative glycoconjugate vaccines,Frontiers in Molecular Biosciences,"Francesca Micoli, Giuseppe Stefanetti, Calman A. MacLennan",21,10.3389/fmolb.2023.1201693,glycoconjugate; glycoconjugate vaccine; conjugate vaccine,,immunogenicity; immune response,0.55,include
40,2015,How the Knowledge of Interactions between Meningococcus and the Human Immune System Has Been Used to Prepare Effective<i,Journal of Immunology Research,"Roberto Gasparini, Donatella Panatto, Nicola Luigi Bragazzi et al.",20,10.1155/2015/189153,conjugate vaccine; capsular polysaccharide; glycan,,immune response,0.575,include
41,2020,Progress toward the Development of Glycan-Based Vaccines against Campylobacteriosis,ACS Infectious Diseases,"Maude Cloutier, Charles Gauthier",20,10.1021/acsinfecdis.0c00332,glycoconjugate; glycoconjugate vaccine; conjugate vaccine,epitope,IgG,0.525,uncertain
42,2019,Nucleoside Hydrolase NH 36: A Vital Enzyme for the Leishmania Genus in the Development of T-Cell Epitope Cross-Protectiv,Frontiers in Immunology,M Palatnik,16,10.3389/fimmu.2019.00813,,epitope; T-cell epitope,protection; efficacy,0.45,uncertain
43,2012,Role of toll like receptors in the antibody response to encapsulated bacteria,Frontiers in Bioscience-Elite,John R. Schreiber,7,10.2741/e571,glycoconjugate; glycoconjugate vaccine; conjugate vaccine,,protection; immune response; antibody response,0.55,include
44,2024,Glycoconjugate vaccines: platforms and adjuvants for directed immunity,Glycobiology,"Valerie Lensch, Jeremiah A. Johnson, Laura L. Kiessling",6,10.1093/glycob/cwae092,glycoconjugate; glycoconjugate vaccine; conjugate vaccine,epitope,immune response,0.525,uncertain
45,2022,The α-Galactosyl Carbohydrate Epitope in Pathogenic Protozoa,ACS Infectious Diseases,"Rosa M. de Lederkremer, M. Eugenia Giorgi, Carla Marino",6,10.1021/acsinfecdis.2c00370,glycoconjugate; glycan,epitope; carbohydrate epitope,,0.4,uncertain
46,2023,In-cell depolymerization of polysaccharide antigens. Exploring the processing pathways of glycans and why some glycoconj,Carbohydrate Polymers,"Sabina Koj, Czesław Ługowski, Tomasz Niedziela",4,10.1016/j.carbpol.2023.120969,glycoconjugate; glycoconjugate vaccine; conjugate vaccine,epitope; immunodominant,immunogenicity; efficacy; immune response,0.75,include
47,2026,Carrier-Protein-Free Pneumococcal Glycoconjugate Vaccines Enabled by SPAAC: Serotype 15C CPS-PADRE Conjugates and the Im,Vaccines,"Yang Huimin, Liao Zeyu, Zhong Yingjie et al.",,10.3390/vaccines14020192,glycoconjugate; glycoconjugate vaccine; conjugate vaccine,epitope,immunogenicity; IgG,0.65,include
48,2026,"Chemical Synthesis of Pseudomonas aeruginosa, Staphylococcus aureus, and Acinetobacter baumannii Capsular Polysaccharide",Angewandte Chemie (International ed. in English),"Mishra Amar Kumar, Reuber Emelie E, Rai Diksha et al.",,10.1002/anie.202524231,glycoconjugate; glycoconjugate vaccine; conjugate vaccine,epitope,immunogenicity; protection; immune response,0.725,include
49,2025,Antigenicity evaluation of the synthetic trisaccharides related to Plesiomonas shigelloides serotype O51 O-antigen conta,Carbohydrate research,"Qin Chunjun, Han Wei, Tian Guangzong et al.",,10.1016/j.carres.2025.109388,glycoconjugate; glycoconjugate vaccine; conjugate vaccine,epitope,IgG; IgM,0.65,include
50,2024,Nanoparticles as Delivery Systems for Antigenic Saccharides: From Conjugation Chemistry to Vaccine Design.,Vaccines,"Archambault Marie-Jeanne, Tshibwabwa Laetitia Mwadi, Côté-Cyr Mélanie et al.",,10.3390/vaccines12111290,glycoconjugate; glycoconjugate vaccine; conjugate vaccine,epitope; T-cell epitope,OPA; immune response,0.75,include
51,2025,A Synthetic Oligosaccharide Resembling Francisella tularensis Strain 15 O-Antigen Capsular Polysaccharide as a Lead for ,Angewandte Chemie (International ed. in English),"Pradhan Kabita, Reuber Emelie E, Sletten Eric T et al.",,10.1002/anie.202416432,glycoconjugate; glycoconjugate vaccine; conjugate vaccine,epitope; glycan epitope,IgG; protection,0.75,include
52,2023,Elucidating the role of N-acetylglucosamine in Group A Carbohydrate for the development of an effective glycoconjugate v,Carbohydrate polymers,"Pitirollo Olimpia, Di Benedetto Roberta, Henriques Pedro et al.",,10.1016/j.carbpol.2023.120736,glycoconjugate; glycoconjugate vaccine; conjugate vaccine,epitope,IgG,0.6,include
53,2022,Preclinical Immunogenicity and Efficacy of Optimized O25b O-Antigen Glycoconjugates To Prevent MDR ST131 E. coli Infecti,Infection and immunity,"Chorro Laurent, Li Zhenghui, Chu Ling et al.",,10.1128/iai.00022-22,glycoconjugate; glycoconjugate vaccine; conjugate vaccine,,immunogenicity; efficacy,0.625,include
54,2021,Combined effects of glycan chain length and linkage type on the immunogenicity of glycoconjugate vaccines.,NPJ vaccines,"Anish Chakkumkal, Beurret Michel, Poolman Jan",,10.1038/s41541-021-00409-1,glycoconjugate; glycoconjugate vaccine; conjugate vaccine,epitope,immunogenicity; IgG; protection,0.8,include
55,2021,Elucidating the Structural and Minimal Protective Epitope of the Serogroup X Meningococcal Capsular Polysaccharide.,Frontiers in molecular biosciences,"Pietri Gian Pietro, Tontini Marta, Brogioni Barbara et al.",,10.3389/fmolb.2021.745360,glycoconjugate; glycoconjugate vaccine; conjugate vaccine,epitope; protective epitope; antigenic determinant,bactericidal,0.725,include
56,2020,Structure-based glycoconjugate vaccine design: The example of Group B Streptococcus type III capsular polysaccharide.,Drug discovery today. Technologies,"Carboni Filippo, Adamo Roberto",,10.1016/j.ddtec.2020.11.003,glycoconjugate; glycoconjugate vaccine; conjugate vaccine,epitope; glycan epitope; X-ray crystallography,immune response,0.875,include
57,2020,Structure-Guided Design of a Group B Streptococcus Type III Synthetic Glycan-Conjugate Vaccine.,"Chemistry (Weinheim an der Bergstrasse, Germany)","Oldrini Davide, Del Bino Linda, Arda Ana et al.",,10.1002/chem.202000284,glycoconjugate; glycoconjugate vaccine; conjugate vaccine,epitope; NMR,,0.575,include
58,2020,Evaluation of Immune Responses to Group B Streptococcus Type III Oligosaccharides Containing a Minimal Protective Epitop,The Journal of infectious diseases,"Carboni Filippo, Angiolini Francesca, Fabbrini Monica et al.",,10.1093/infdis/jiz551,glycoconjugate; glycoconjugate vaccine; conjugate vaccine,epitope; protective epitope,immune response,0.7,include
59,2019,Identification of a Consolidation Phase in Immunological Memory.,Frontiers in immunology,"Mantile Francesca, Capasso Angelo, De Berardinis Piergiuseppe et al.",,10.3389/fimmu.2019.00508,glycoconjugate; glycoconjugate vaccine; conjugate vaccine,epitope,immune response; antibody response,0.65,include
60,2019,Oligomannose Glycopeptide Conjugates Elicit Antibodies Targeting the Glycan Core Rather than Its Extremities.,ACS central science,"Nguyen Dung N, Xu Bokai, Stanfield Robyn L et al.",,10.1021/acscentsci.8b00588,glycoconjugate; glycoconjugate vaccine; conjugate vaccine,epitope,immunogenicity; neutralization,0.65,include
